,mtknr,avg
939,3986,29.0
940,3992,26.0
941,4003,43.0
942,4009,13.0
943,4015,32.0
944,4018,23.0
945,4024,32.0
946,4039,27.0
947,4050,29.0
948,4054,32.0
949,4064,24.0
950,4079,28.0
951,4087,15.0
952,4092,30.0
953,4094,38.0
954,4097,19.0
955,4108,19.0
956,4111,22.0
957,4113,42.0
958,4117,41.0
959,4122,41.0
960,4125,34.0
961,4130,18.0
962,4134,36.0
963,4140,32.0
964,4145,26.0
965,4147,27.0
966,4148,50.0
967,4150,35.0
968,4152,20.0
969,4154,40.0
970,4155,37.0
971,4164,19.0
972,4170,30.0
973,4174,31.0
974,4177,39.0
975,4184,15.0
976,4191,26.0
977,4196,25.0
978,4200,30.0
979,4203,35.0
980,4204,30.0
981,4205,17.0
982,4206,43.0
983,4209,24.0
984,4210,24.0
985,4212,29.0
986,4213,42.0
987,4218,25.0
988,4226,29.0
989,4230,27.0
990,4238,38.0
991,4239,19.0
992,4241,40.0
993,4242,27.0
994,4260,24.0
995,4262,50.0
996,4281,26.0
997,4287,34.0
998,4288,17.0
999,4291,29.0
1000,4292,25.0
1001,4296,32.0
1002,4301,28.0
1003,4302,39.0
1004,4303,20.0
1005,4321,27.0
1006,4322,11.0
1007,4324,40.0
1008,4325,29.0
1009,4326,16.0
1010,4330,36.0
1011,4342,28.0
1012,4344,35.0
1013,4347,41.0
1014,4354,48.0
1015,4357,35.0
1016,4366,25.0
1017,4371,22.0
1018,4384,19.0
1019,4389,18.0
1020,4391,23.0
1021,4395,16.0
1022,4400,21.0
1023,4403,21.0
1024,4408,23.0
1025,4410,19.0
1026,4411,28.0
1027,4415,26.0
1028,4424,21.0
1029,4427,21.0
1030,4428,21.0
1031,4430,26.0
1032,4433,42.0
1033,4441,34.0
1034,4457,10.0
1035,4458,29.0
1036,4461,20.0
1037,4463,36.0
1038,4465,22.0
1039,4478,40.0
1040,4490,15.0
1041,4495,36.0
1042,4499,28.0
1043,4500,39.0
1044,4511,25.0
1045,4517,25.0
1046,4527,15.0
1047,4529,27.0
1048,4532,29.0
1049,4534,19.0
1050,4537,33.0
1051,4543,30.0
1052,4545,23.0
1053,4547,11.0
1054,4550,30.0
1055,4553,25.0
1056,4560,33.0
1057,4567,25.0
1058,4577,27.0
1059,4580,16.0
1060,4583,20.0
1061,4584,27.0
1062,4588,37.0
1063,4591,40.0
1064,4599,19.0
1065,4603,28.0
1066,4607,42.0
1067,4610,40.0
1068,4612,50.0
1069,4613,26.0
1070,4614,18.0
1071,4619,31.0
1072,4621,27.0
1073,4623,28.0
1074,4624,34.0
1075,4629,41.0
1076,4635,23.0
1077,4639,
1078,4643,50.0
1079,4644,14.0
1080,4645,50.0
1081,4647,17.0
1082,4650,13.0
1083,4651,29.0
1084,4655,26.0
1085,4657,38.0
1086,4661,18.0
1087,4669,25.0
1088,4670,24.0
1089,4674,18.0
1090,4679,22.0
1091,4680,20.0
1092,4690,43.0
1093,4694,41.0
1094,4705,40.0
1095,4706,41.0
1096,4707,29.0
1097,4708,24.0
1098,4714,17.0
1099,4731,31.0
1100,4737,37.0
1101,4739,30.0
1102,4741,50.0
1103,4744,28.0
1104,4747,22.0
1105,4750,25.0
1106,4766,12.0
1107,4767,50.0
1108,4775,21.0
1109,4780,18.0
1110,4783,50.0
1111,4784,33.0
1112,4796,44.0
1113,4799,26.0
1114,4803,35.0
1115,4806,24.0
1116,4809,25.0
1117,4811,32.0
1118,4816,33.0
1119,4818,19.0
1120,4821,50.0
1121,4824,30.0
1122,4832,30.0
1123,4838,21.0
1124,4847,38.0
1125,4853,17.0
1126,4859,21.0
1127,4862,24.0
1128,4863,40.0
1129,4865,42.0
1130,4868,13.0
1131,4871,31.0
1132,4872,20.0
1133,4884,24.0
1134,4886,39.0
1135,4893,22.0
1136,4895,10.0
1137,4900,26.0
1138,4906,25.0
1139,4907,28.0
1140,4917,43.0
1141,4938,34.0
1142,4942,32.0
1143,4943,34.0
1144,4944,46.0
1145,4948,25.0
1146,4958,17.0
1147,4971,26.0
1148,4972,22.0
1149,4987,33.0
1150,4990,28.0
1151,4994,26.0
1152,4995,23.0
1153,4998,17.0
1154,4999,45.0
1155,5008,40.0
1156,5017,31.0
1157,5019,32.0
1158,5027,28.0
1159,5029,19.0
1160,5037,50.0
1161,5057,23.0
1162,5065,25.0
1163,5069,28.0
1164,5072,16.0
1165,5073,15.0
1166,5075,27.0
1167,5082,36.0
1168,5083,19.0
1169,5084,16.0
1170,5094,19.0
1171,5100,38.0
1172,5101,14.0
1173,5107,24.0
1174,5115,23.0
1175,5116,36.0
1176,5122,30.0
1177,5125,20.0
1178,5131,24.0
1179,5134,34.0
1180,5137,32.0
1181,5138,33.0
1182,5148,30.0
1183,5151,33.0
1184,5158,43.0
1185,5167,36.0
1186,5178,33.0
1187,5179,46.0
1188,5182,
1189,5183,31.0
1190,5186,30.0
1191,5193,41.0
1192,5198,26.0
1193,5205,50.0
1194,5212,35.0
1195,5214,34.0
1196,5216,22.0
1197,5226,21.0
1198,5228,36.0
1199,5232,14.0
1200,5242,50.0
1201,5245,18.0
1202,5247,41.0
1203,5249,32.0
1204,5250,32.0
1205,5254,38.0
1206,5255,45.0
1207,5258,50.0
1208,5259,23.0
1209,5261,36.0
1210,5275,25.0
1211,5276,50.0
1212,5297,20.0
1213,5299,18.0
1214,5300,38.0
1215,5301,22.0
1216,5308,21.0
1217,5310,48.0
1218,5315,25.0
1219,5321,30.0
1220,5326,38.0
